sector,tic_id
60,609863511
60,609864991
60,609868110
60,609868384
60,609868578
60,609869148
60,609869377
60,609869695
60,609870628
60,609871153
60,609871442
60,609871664
60,609871792
60,609872199
60,609872444
60,609872705
60,609875005
60,609877486
60,609877730
60,609878322
60,609878779
60,609878784
60,609879099
60,609879836
60,609881109
60,609882778
60,609883176
60,609883729
60,609884378
60,609884423
60,609884917
60,609887310
60,609887365
60,609887490
60,609887775
60,609888378
60,609888627
60,609889300
60,629889234
60,629890114
60,629890777
60,629891216
60,629897932
60,629899945
60,629902278
60,629906277
60,629906478
60,629906960
60,629908694
60,629909720
60,629909927
60,629910037
60,629911797
60,629912574
60,629912893
60,629913613
60,629914419
60,629914534
60,629915025
60,629915048
60,629915532
60,629915572
60,629916520
60,629916597
60,629916709
60,629918931
60,629919545
60,629919933
60,629920276
60,629920463
60,629920795
60,629922035
60,629922316
60,629923111
60,629924136
60,629924936
60,629925341
60,629925577
60,629925668
60,629925722
60,629926227
60,629927230
60,629927584
60,629928379
60,629928854
60,629929565
60,629929648
60,629931196
60,629932970
60,629934908
60,629935765
60,629936213
60,629936274
60,629936336
60,629936863
60,629937343
60,629937802
60,629938111
60,629938259
60,629939497
60,629939505
60,629940541
60,629941558
60,629941676
60,629941817
60,629942098
60,629942868
60,629943235
60,629944188
60,629944391
60,629944728
60,629945005
60,629945210
60,629946020
60,629947470
60,629947609
60,629948885
60,629949285
60,629949729
60,629952330
60,629953534
60,629953666
60,629953761
60,629956386
60,629956564
60,629956609
60,629957352
60,629958132
60,629958614
60,629958642
60,649453904
60,649454029
60,649456162
60,649456521
60,649456562
60,649457042
60,649500978
60,649503174
60,649503882
60,649504404
60,649504650
60,649504953
60,649505128
60,649505522
60,649505573
60,649505577
60,649506276
60,649507118
60,649507135
60,649507198
60,649507888
60,649509521
60,649511624
60,649512333
60,649514332
60,649516668
60,649518182
60,649518732
60,649519548
60,649519720
60,649519756
60,649520314
60,649526541
60,649526698
60,649529288
60,649530652
60,649530967
60,649531073
60,649532622
60,649532815
60,649532978
60,649533219
60,649533562
60,649535896
60,649536675
60,649536724
60,649538194
60,649539563
60,649540239
60,649540660
60,649540810
60,649541254
60,649541860
60,649542229
60,649543147
60,649543444
60,649545502
60,649545855
60,649546540
60,649546927
60,649548054
60,649548297
60,649548531
60,649548722
60,649549157
60,649549311
60,649549895
60,649550164
60,649550752
60,649550814
60,649551066
60,649551286
60,649551373
60,649551377
60,649551410
60,649552495
60,649552825
60,649553268
60,649553459
60,649555030
60,649555610
60,649557663
60,649557757
60,649557886
60,649557918
60,649557992
60,649558230
60,649558413
60,649559589
60,649559638
60,649560914
60,649560984
60,649561840
60,649562743
60,649562957
60,649563455
60,649564521
60,649564679
60,649565356
60,649566269
60,649567359
60,649567466
60,649568807
60,649570034
60,649570720
60,649570865
60,649571388
60,649571654
60,649571790
60,649572275
60,649572638
60,649573926
60,649574857
60,649576212
60,649576589
60,649576758
60,649576840
60,649578202
60,649578656
60,649578740
60,649578799
60,649580422
60,649580820
60,649581064
60,649582034
60,649582116
60,649582612
60,649582867
60,649583034
60,649583260
60,649583712
60,649584225
60,649584303
60,649585227
60,649585268
60,649585350
60,649586910
60,649586914
60,649587697
60,649588119
60,649588570
60,649589070
60,649589265
60,670566134
60,670573627
60,670574029
60,670574525
60,670575326
60,670727169
60,670727190
60,670728143
60,670729029
60,670729219
60,670729485
60,670729924
60,670730070
60,670733292
60,670736054
60,670736802
60,670736968
60,670737447
60,670737591
60,670738388
60,670739500
60,670739617
60,670740879
60,670743202
60,670743939
60,670747563
60,670747735
60,670747768
60,670747781
60,670747823
60,670747964
60,670748431
60,670748515
60,670749101
60,670750823
60,670757285
60,670757308
60,670758139
60,670758438
60,670758825
60,670759292
60,670759565
60,670761397
60,670761936
60,670762354
60,670763044
60,670859996
60,670860276
60,670860302
60,670860344
60,670860619
60,670860839
60,670862784
60,670862790
60,670863023
60,670863293
60,670865108
60,670865556
60,670866581
60,670866835
60,670872420
60,670872479
60,670872481
60,670873120
60,670876335
60,670876445
60,670876626
60,670879365
60,670879512
60,670879558
60,670879863
60,670880022
60,670880170
60,670880520
60,670880710
60,670880836
60,670880883
60,670881290
60,670881852
60,670881867
60,670881971
60,670882079
60,670882155
60,670882207
60,670882854
60,670884113
60,670884468
60,670884734
60,670884735
60,670885035
60,670885165
