config,bkspace_d,sigma_clip,duration_min,depth,injection_cases,median_retention,p16_retention,p84_retention,min_retention,max_retention,median_cadences
bk0.5_sig3,0.5,3.0,5.0,0.3,33,0.9935548792684089,0.9921263128993555,0.9995273948746061,0.9144311598781119,1.1336198118931458,15.0
bk0.5_sig3,0.5,3.0,5.0,0.5,33,0.9979574171703224,0.9926705596192432,0.9999737660113475,0.9147615692826242,1.1368992514759158,15.0
bk0.5_sig3,0.5,3.0,10.0,0.03,33,0.9893096900269812,0.9861397570023587,0.9900576481436845,0.9118064387297602,1.1232707352316222,30.0
bk0.5_sig3,0.5,3.0,10.0,0.1,33,0.9889308762517218,0.9868849229743956,0.989864687275162,0.9112069585434068,1.1243795299331354,30.0
bk0.5_sig3,0.5,3.0,10.0,0.3,33,0.9902424747892274,0.986734818504104,0.9981584838189819,0.9103805025511821,1.1292533330597845,30.0
bk0.5_sig3,0.5,3.0,10.0,0.5,33,0.9950085089053983,0.986746386402154,0.9986017671027465,0.9099960574394034,1.1363675238303503,30.0
bk0.5_sig3,0.5,3.0,30.0,0.03,33,0.9667104400613673,0.9562647661223291,0.9698090942174022,0.8917962448395397,1.0987662255255048,90.0
bk0.5_sig3,0.5,3.0,30.0,0.1,33,0.9656212542936576,0.9624117883245951,0.9686514627139163,0.8930098347053284,1.1023111821674447,90.0
bk0.5_sig3,0.5,3.0,30.0,0.3,33,0.9697687364035135,0.9613590963929413,0.9935942474502608,0.8951972874958662,1.1121634560474012,90.0
bk0.5_sig3,0.5,3.0,30.0,0.5,33,0.9860957152281566,0.96157944075614,0.9956754252102957,0.8938471377460234,1.140094166398202,90.0
bk0.5_sig3,0.5,3.0,60.0,0.03,33,0.9311796429943342,0.9225672672352407,0.9393124986436754,0.8641703539231604,1.0609878219972577,180.0
bk0.5_sig3,0.5,3.0,60.0,0.1,33,0.9306472019933126,0.923873465667921,0.9357013733224747,0.8647394960728794,1.0639789193564908,180.0
bk0.5_sig3,0.5,3.0,60.0,0.3,33,0.9373831083522862,0.9267036056421767,0.9841338319003522,0.8689267884590087,1.082641205932666,180.0
bk0.5_sig3,0.5,3.0,60.0,0.5,33,0.9685236885319971,0.9279392726097286,0.9894729742418558,0.8621496052150969,1.1424194772026894,180.0
bk0.5_sig3,0.5,3.0,120.0,0.03,33,0.8625790068230962,0.850811377219859,0.871427472382708,0.8056818313084801,0.9833365862565706,360.0
bk0.5_sig3,0.5,3.0,120.0,0.1,33,0.8579606675137325,0.8443727365944956,0.8705439883978614,0.8030815112230427,0.9916512649028281,360.0
bk0.5_sig3,0.5,3.0,120.0,0.3,33,0.861251893009916,0.8470250784718865,0.8878151021400777,0.7953973489104001,1.048447248248656,360.0
bk0.5_sig3,0.5,3.0,120.0,0.5,33,0.92457196796827,0.8520619586987841,0.9777283350048803,0.8047207604322297,1.142883146028139,360.0
bk0.5_sig3,0.5,3.0,180.0,0.03,33,0.7923948252000306,0.7742805146876865,0.8027942404063879,0.7111304997913275,0.9015478460215036,540.0
bk0.5_sig3,0.5,3.0,180.0,0.1,33,0.785735912988974,0.771425190710586,0.8051561987069783,0.7154938100280223,0.9057631702069735,540.0
bk0.5_sig3,0.5,3.0,180.0,0.3,33,0.7785340099895576,0.7661274975088731,0.8067345656135393,0.6954495079128067,1.0526074187779946,540.0
bk0.5_sig3,0.5,3.0,180.0,0.5,33,0.8228313257813519,0.7675083005422734,0.9630006146774799,0.7431481153403867,1.1030483563673361,540.0
bk0.5_sig5,0.5,5.0,5.0,0.03,33,0.992989254838561,0.9924435611215099,0.9930913096613855,0.9194895125463991,1.127601489792616,15.0
bk0.5_sig5,0.5,5.0,5.0,0.1,33,0.9929892301112342,0.9920481217688953,0.9930034235269898,0.9175308012856837,1.1275713904518703,15.0
bk0.5_sig5,0.5,5.0,5.0,0.3,33,0.9928294926216386,0.9914924288379594,0.9945756590966939,0.9144245460546615,1.128302837714044,15.0
bk0.5_sig5,0.5,5.0,5.0,0.5,33,0.9929849528426934,0.9916980583244818,0.999241155716609,0.9145536071528576,1.1326003046338173,15.0
bk0.5_sig5,0.5,5.0,10.0,0.03,33,0.9896997944694157,0.9886854198842695,0.9898115799687703,0.91189455878176,1.1237312156231176,30.0
bk0.5_sig5,0.5,5.0,10.0,0.1,33,0.9894902980233794,0.9886946029267858,0.9898102049914562,0.9112243156212929,1.1241687103984332,30.0
bk0.5_sig5,0.5,5.0,10.0,0.3,33,0.988808741280405,0.9868016926096652,0.9915031280651976,0.9114177516660587,1.1251809521855625,30.0
bk0.5_sig5,0.5,5.0,10.0,0.5,33,0.9890562379560789,0.9868286338700398,0.9982940583079725,0.9108666520486943,1.125038712470242,30.0
bk0.5_sig5,0.5,5.0,30.0,0.03,33,0.9687618124654851,0.965904471699849,0.969235338459279,0.8917217961959916,1.098941523901185,90.0
bk0.5_sig5,0.5,5.0,30.0,0.1,33,0.9679537272852123,0.9644589155580552,0.9690157919491871,0.8930023572279366,1.1001814907502587,90.0
bk0.5_sig5,0.5,5.0,30.0,0.3,33,0.9663341047044185,0.9608425055127235,0.9691631369532548,0.8941044096167835,1.1028189541712623,90.0
bk0.5_sig5,0.5,5.0,30.0,0.5,33,0.9665356916287648,0.9599638821670023,0.9883029908298218,0.8926702175298089,1.1057925953361591,90.0
bk0.5_sig5,0.5,5.0,60.0,0.03,33,0.9365290473582607,0.9277592341521184,0.9382933091218981,0.8642035230825222,1.0613384054378137,180.0
