case_id,variant,injection_depth,injection_duration_min,injection_period_d,injection_flux_scale,injection_cadences,recovered_depth,depth_retention_frac
tic267574918_s0056_o119_c4-1_Small,sub_median_abs,0.03,30.0,1.40793903,4909.682539407609,81,0.02927862563254069,0.9759541877513563
tic267574918_s0056_o119_c4-1_Small,sub_auto,0.03,30.0,1.40793903,4909.682539407609,81,0.02927862563254069,0.9759541877513563
tic267574918_s0056_o119_c4-1_Large,divisive,0.03,30.0,1.40793903,14925.076667367974,81,0.03565590523989137,1.188530174663046
tic267574918_s0056_o119_c4-1_Large,sub_median,0.03,30.0,1.40793903,14925.076667367974,81,0.04725783410711393,1.5752611369037977
tic267574918_s0056_o119_c4-1_Large,sub_median_abs,0.03,30.0,1.40793903,14925.076667367974,81,0.04725783410711393,1.5752611369037977
tic267574918_s0056_o119_c4-1_Large,sub_auto,0.03,30.0,1.40793903,14925.076667367974,81,0.02805237138726635,0.9350790462422117
tic611160627_s0056_o120_c1-4_Primary,divisive,0.03,30.0,1.40793903,17304.75493247891,90,-0.02607467871355884,-0.869155957118628
tic611160627_s0056_o120_c1-4_Primary,sub_median,0.03,30.0,1.40793903,17304.75493247891,90,-0.06677927693438912,-2.2259758978129707
tic611160627_s0056_o120_c1-4_Primary,sub_median_abs,0.03,30.0,1.40793903,17304.75493247891,90,0.06677927693438901,2.225975897812967
tic611160627_s0056_o120_c1-4_Primary,sub_auto,0.03,30.0,1.40793903,17304.75493247891,90,0.028195982250878104,0.9398660750292702
tic611160627_s0056_o120_c1-4_Small,divisive,0.03,30.0,1.40793903,1627.717004193157,90,-0.025034845557372343,-0.8344948519124115
tic611160627_s0056_o120_c1-4_Small,sub_median,0.03,30.0,1.40793903,1627.717004193157,90,-0.06806575549520277,-2.2688585165067594
tic611160627_s0056_o120_c1-4_Small,sub_median_abs,0.03,30.0,1.40793903,1627.717004193157,90,0.06806575549520277,2.2688585165067594
tic611160627_s0056_o120_c1-4_Small,sub_auto,0.03,30.0,1.40793903,1627.717004193157,90,0.028192584885312844,0.9397528295104282
tic611160627_s0056_o120_c1-4_Large,divisive,0.03,30.0,1.40793903,46262.327768977375,90,-0.024828275237506248,-0.8276091745835417
tic611160627_s0056_o120_c1-4_Large,sub_median,0.03,30.0,1.40793903,46262.327768977375,90,-0.06037432019808486,-2.0124773399361624
tic611160627_s0056_o120_c1-4_Large,sub_median_abs,0.03,30.0,1.40793903,46262.327768977375,90,0.06037432019808481,2.01247733993616
tic611160627_s0056_o120_c1-4_Large,sub_auto,0.03,30.0,1.40793903,46262.327768977375,90,0.02819512334803015,0.9398374449343383
tic611190313_s0056_o120_c1-4_Primary,divisive,0.03,30.0,1.40793903,22485.747073353603,90,-0.02647599469962747,-0.882533156654249
tic611190313_s0056_o120_c1-4_Primary,sub_median,0.03,30.0,1.40793903,22485.747073353603,90,-0.07645327338585162,-2.548442446195054
tic611190313_s0056_o120_c1-4_Primary,sub_median_abs,0.03,30.0,1.40793903,22485.747073353603,90,0.07645327338585156,2.548442446195052
tic611190313_s0056_o120_c1-4_Primary,sub_auto,0.03,30.0,1.40793903,22485.747073353603,90,0.0281617495505187,0.9387249850172901
tic611190313_s0056_o120_c1-4_Small,divisive,0.03,30.0,1.40793903,2183.0671203736674,90,-0.025079678882545198,-0.83598929608484
tic611190313_s0056_o120_c1-4_Small,sub_median,0.03,30.0,1.40793903,2183.0671203736674,90,-0.08605904326291358,-2.868634775430453
tic611190313_s0056_o120_c1-4_Small,sub_median_abs,0.03,30.0,1.40793903,2183.0671203736674,90,0.08605904326291369,2.8686347754304564
tic611190313_s0056_o120_c1-4_Small,sub_auto,0.03,30.0,1.40793903,2183.0671203736674,90,0.028212234457994922,0.9404078152664974
tic611190313_s0056_o120_c1-4_Large,divisive,0.03,30.0,1.40793903,62803.52003544294,90,-0.02638952993801702,-0.8796509979339007
tic611190313_s0056_o120_c1-4_Large,sub_median,0.03,30.0,1.40793903,62803.52003544294,90,-0.07396417195882893,-2.465472398627631
tic611190313_s0056_o120_c1-4_Large,sub_median_abs,0.03,30.0,1.40793903,62803.52003544294,90,0.0739641719588287,2.4654723986276235
tic611190313_s0056_o120_c1-4_Large,sub_auto,0.03,30.0,1.40793903,62803.52003544294,90,0.027869554816419784,0.9289851605473262
